Plant,CW_from_bearing,Dist (m),Ht (cm),Diam (cm),Area (m2)
MES,90,60,60,60,0.282743339
MES,90,42.3,120,170,2.269800692
MES,90,38.8,140,140,1.5393804
MES,90,36.2,110,50,0.196349541
MES,90,33.5,110,110,0.950331778
MES,90,41.4,90,70,0.3848451
MES,90,39,210,230,4.154756284
MES,90,42.1,150,120,1.130973355
MES,90,44.9,120,120,1.130973355
MES,90,49,500,830,54.10607948
MES,90,26,130,75,0.441786467
MES,90,38.6,300,480,18.09557368
MES,90,56.5,80,70,0.3848451
MES,90,57,140,100,0.785398163
MES,90,42.5,160,150,1.767145868
MES,90,53.6,200,180,2.544690049
MES,90,57.2,220,280,6.157521601
MES,90,31.3,550,780,47.78362426
MES,90,16.2,400,950,70.88218425
ACA,180,51.9,80,100,0.785398163
GRTH,180,47.5,190,200,3.141592654
GRTH,180,42.2,180,280,6.157521601
GRTH,180,34.5,300,240,4.523893421
GRTH,180,27,320,300,7.068583471
HAC,180,52.3,250,350,9.621127502
MES,180,32.3,110,75,0.441786467
MES,180,40.3,180,250,4.908738521
MES,180,23.9,270,240,4.523893421
MES,180,44.5,210,330,8.552985999
MES,180,22.1,180,260,5.309291585
MES,180,57,270,430,14.52201204
MES,180,28.4,200,120,1.130973355
MES,180,54,300,600,28.27433388
MES,180,55.8,210,240,4.523893421
MES,180,15.7,160,360,10.1787602
MES,180,33.5,320,620,30.1907054
MES,180,58.5,280,220,3.801327111
MES,180,50.4,250,270,5.725552611
MES,180,58,375,300,7.068583471
MES,180,46.8,180,220,3.801327111
MES,180,54.4,325,350,9.621127502
MES,180,30.1,320,200,3.141592654
MES,180,33.2,380,260,5.309291585
MES,180,27.8,410,450,15.90431281
MES,180,43.4,120,180,2.544690049
MES,180,40.3,220,280,6.157521601
MES,180,38.1,250,200,3.141592654
MES,180,34,160,300,7.068583471
MES,180,24.7,330,200,3.141592654
GRTH,270,20,300,240,4.523893421
MES,270,39.8,150,150,1.767145868
MES,270,42,110,110,0.950331778
MES,270,49.7,90,60,0.282743339
MES,270,49.3,220,340,9.079202769
MES,270,60,70,50,0.196349541
MES,270,44.5,120,100,0.785398163
MES,270,36,280,320,8.042477193
MES,270,12.4,140,100,0.785398163
MES,270,29.2,220,190,2.83528737
MES,270,46.8,390,840,55.41769441
MES,270,58.8,210,320,8.042477193
MES,270,49.7,140,150,1.767145868
MES,270,47,85,40,0.125663706
MES,270,46.8,180,220,3.801327111
MES,270,48.4,80,60,0.282743339
MES,270,50.8,90,80,0.502654825
MES,270,21.5,500,840,55.41769441
MES,270,48.3,200,210,3.463605901
MES,270,58.4,280,320,8.042477193
MES,270,53.7,80,70,0.3848451
MES,270,53.7,90,80,0.502654825
MES,270,54,120,180,2.544690049
MES,270,55.5,260,380,11.34114948
MES,270,55.8,210,350,9.621127502
MES,270,43.2,210,240,4.523893421
MES,270,46.7,180,130,1.327322896
MES,270,54.1,300,440,15.20530844
MES,270,50,230,160,2.010619298
